"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","Pt"
"*04uql*","Cole Perfetti","WPG","LW,RW","313","JS","Reserve","24","SJS Thu 6:00PM","32","0.48","41%","-8%","67","32"
"*050rc*","Dmitry Voronkov","CBJ","C,LW","318","TPA","Active","25","","32","0.51","41%","-8%","63","32"
"*04zo3*","Nick Robertson","TOR","LW,RW","315","KR","Reserve","24","","32","0.41","13%","-3%","78","32"
"*05y7m*","Denton Mateychuk","CBJ","D","325","LHB","Reserve","21","","31","0.41","40%","-8%","75","31"
"*02ni5*","Jonathan Marchessault","NSH","RW","324","ADB","Reserve","35","ANA Thu 6:00PM","31","0.5","36%","-6%","62","31"
"*05kua*","Emil Heineman","NYI","LW,RW","321","ADB","Active","24","","31","0.38","35%","-9%","82","31"
"*051um*","Arseny Gritsyuk","NJD","LW,RW","320","TT","Reserve","25","","31","0.47","25%","-6%","66","31"
"*05gd9*","Zack Bolduc","MTL","LW,RW","333","JS","Reserve","23","","30","0.38","34%","-6%","78","30"
"*06cl1*","Emmitt Finnie","DET","LW","338","TPA","Reserve","20","","30","0.37","26%","-6%","82","30"
"*05w9b*","Calum Ritchie","NYI","C","342","ADB","Reserve","21","","30","0.46","25%","-7%","65","30"
"*065d1*","Matthew Wood","NSH","RW","343","MC","Reserve","21","ANA Thu 6:00PM","30","0.43","24%","-6%","70","30"
"*04xjf*","Owen Power","BUF","D","354","GG","Active","23","","29","0.36","41%","-8%","81","29"
"*01skq*","Cam Fowler","STL","D","348","KR","Reserve","34","@UTA Thu 5:30PM","29","0.36","35%","-4%","81","29"
"*06bap*","Easton Cowan","TOR","C,RW","346","GG","Reserve","20","","29","0.44","30%","-7%","67","29"
"*03j8l*","Noah Hanifin","VGK","D","364","PSK","Active","29","","28","0.39","52%","-8%","71","28"
"*04y80*","Shane Wright","SEA","C","374","MC","Active","22","@COL Thu 8:00PM","27","0.37","36%","-6%","73","27"
"*06axe*","Gabe Perreault","NYR","LW,RW","372","FZ","Active","20","","27","0.55","36%","-8%","49","27"
"*05rjg*","Danila Yurov","MIN","C,LW","375","FZ","Reserve","22","","27","0.37","31%","-6%","73","27"
"*05rjh*","Noah Ostlund","BUF","C","371","MC","Active","22","","27","0.45","17%","-5%","60","27"
"*031v6*","MacKenzie Weegar","UTA","D","390","PSK","Active","32","STL Thu 5:30PM","26","0.33","70%","-12%","78","26"
"*06bmb*","Zeev Buium","VAN","D","377","FZ","Reserve","20","@EDM Thu 7:00PM","26","0.35","60%","-9%","75","26"
"*05ril*","Simon Nemec","NJD","D","383","FZ","Reserve","22","","26","0.38","46%","-9%","68","26"
"*05oxk*","Mason Lohrei","BOS","D","382","ADB","Active","25","","26","0.36","32%","-6%","73","26"
"*04ye7*","Cam York","PHI","D","391","TPA","Active","25","","26","0.35","28%","-6%","74","26"
"*06c72*","Braeden Bowman","VGK","RW","376","TPA","Reserve","22","","26","0.48","14%","-4%","54","26"
"*05nzz*","Simon Edvinsson","DET","D","395","GG","Active","23","","25","0.35","50%","-9%","72","25"
"*03ec6*","Devon Toews","COL","D","416","KR","Active","32","SEA Thu 8:00PM","24","0.36","52%","-8%","67","24"
"*06axy*","Artyom Levshunov","CHI","D","414","FZ","Active","20","","24","0.35","47%","-9%","68","24"
"*02wy1*","Jonathan Drouin","STL","LW,RW","408","KR","Active","31","@UTA Thu 5:30PM","24","0.38","17%","-2%","64","24"
"*03161*","Darnell Nurse","EDM","D","425","ADB","Reserve","31","VAN Thu 7:00PM","23","0.28","55%","-10%","81","23"
"*05gda*","Kent Johnson","CBJ","LW,RW","436","MC","Active","23","","22","0.29","39%","-6%","76","22"
"*05yli*","Pavel Mintyukov","ANA","D","441","LHB","Reserve","22","@NSH Thu 6:00PM","22","0.31","29%","-6%","72","22"
"*067xz*","Axel Sandin Pellikka","DET","D","452","FZ","Active","21","","21","0.31","35%","-7%","68","21"
"*05ui4*","Dalibor Dvorsky","STL","C","448","KR","Reserve","20","@UTA Thu 5:30PM","21","0.3","26%","-7%","70","21"
"*061im*","Michael Misa","SJS","C","463","MC","Reserve","19","@WPG Thu 6:00PM","20","0.45","47%","-8%","44","20"
"*05xrx*","Marco Kasper","DET","C,LW","472","GRN","Reserve","22","","19","0.23","35%","-6%","81","19"
"*0644e*","Oliver Moore","CHI","C,LW","474","FZ","Reserve","21","","19","0.37","21%","-5%","51","19"
"*06mb0*","Matvei Gridin","CGY","RW","471","UPI","Reserve","20","LAK Thu 7:00PM","19","0.53","17%","-5%","36","19"
"*02nqb*","Colton Parayko","STL","D","495","KR","Active","32","@UTA Thu 5:30PM","18","0.24","41%","-7%","76","18"
"*06hcr*","Igor Chernyshov","SJS","LW","482","MC","Reserve","20","@WPG Thu 6:00PM","18","0.67","33%","-5%","27","18"
"*06imq*","Maxim Shabanov","NYI","RW","500","PSK","Reserve","25","","18","0.41","24%","-5%","44","18"
"*01c13*","Victor Hedman","TBL","D","516","PSK","Active","35","","17","0.52","73%","-14%","33","17"
"*065nx*","Berkly Catton","SEA","C,LW","507","MC","Active","20","@COL Thu 8:00PM","17","0.26","30%","-7%","65","17"
"*05k8c*","Tyson Foerster","PHI","LW","515","GG","Active","24","","17","0.59","29%","-7%","29","17"
"*05rj4*","Fedor Svechkov","NSH","C","524","TT","Reserve","23","ANA Thu 6:00PM","17","0.25","9%","-3%","69","17"
"*06axb*","Nick Lardis","CHI","RW","557","TPA","Reserve","20","","15","0.37","15%","-5%","41","15"
"*06amv*","Sam Dickinson","SJS","D","568","MC","Active","19","@WPG Thu 6:00PM","14","0.2","35%","-7%","71","14"
"*06fzv*","Cole Hutson","WSH","D","635","MC","Reserve","19","","10","0.71","47%","-11%","14","10"
"*06hj9*","Porter Martone","PHI","RW","638","MC","Reserve","19","","10","1.11","42%","-8%","9","10"
"*06jhd*","Anton Frondell","CHI","C","653","FZ","Reserve","18","","9","0.75","40%","-8%","12","9"
"*05td4*","Ryan Ufko","NSH","D","668","UPI","Reserve","22","ANA Thu 6:00PM","9","0.53","12%","-4%","17","9"
"*060pq*","Alex Bump","PHI","LW","650","TPA","Reserve","22","","9","0.53","7%","-3%","17","9"
"*06hco*","Zayne Parekh","CGY","D","683","MC","Active","20","LAK Thu 7:00PM","8","0.22","52%","-8%","36","8"
"*060jj*","Jani Nyman","SEA","LW","706","PSK","Active","21","@COL Thu 8:00PM","7","0.26","14%","-4%","27","7"
"*05r1b*","Rutger McGroarty","PIT","LW,RW","729","UPI","Active","22","","6","0.25","26%","-6%","24","6"
"*05rj2*","Scott Morrow","NYR","D","731","GG","Active","23","","6","0.21","19%","-5%","29","6"
"*0570x*","Brad Lambert","WPG","RW","727","GRN","Reserve","22","SJS Thu 6:00PM","6","0.25","15%","-5%","24","6"
"*05rfa*","Isaac Howard","EDM","LW","745","MC","Active","22","VAN Thu 7:00PM","5","0.17","29%","-6%","29","5"
"*060jl*","Jiri Kulich","BUF","C","748","FZ","Active","22","","5","0.42","25%","-6%","12","5"
"*06maz*","Ilya Protas","WSH","LW","777","LHB","Reserve","19","","4","1","25%","-7%","4","4"
"*066q4*","Konsta Helenius","BUF","RW","766","JS","Reserve","19","","4","0.44","24%","-6%","9","4"
"*06axc*","Samuel Honzek","CGY","C,LW","767","KR","Reserve","21","LAK Thu 7:00PM","4","0.22","12%","-4%","18","4"
"*05xcm*","Jonathan Lekkerimaki","VAN","RW","800","FZ","Active","21","@EDM Thu 7:00PM","3","0.23","23%","-6%","13","3"
"*06axz*","Bradly Nadeau","CAR","C","804","UPI","Active","20","","3","0.25","23%","-6%","12","3"
"*05rb9*","Conor Geekie","TBL","C,RW","791","GG","Reserve","21","","3","0.21","21%","-5%","14","3"
"*05r2y*","Ivan Miroshnichenko","WSH","RW","803","PSK","Reserve","22","","3","0.23","17%","-5%","13","3"
"*057yc*","Brennan Othmann","CGY","LW","805","TT","Reserve","23","LAK Thu 7:00PM","3","0.16","12%","-4%","19","3"
"*06hcq*","Carter Yakemchuk","OTT","D","850","PA","Active","20","","2","0.5","33%","-8%","4","2"
"*05ymp*","Kevin Korchinski","CHI","D","834","GG","Reserve","21","","2","0.15","19%","-5%","13","2"
"*066q1*","Sacha Boisvert","CHI","C","821","ADB","Reserve","20","","2","0.29","12%","-4%","7","2"
"*06ag2*","James Hagens","BOS","C","878","GG","Reserve","19","","1","0.5","33%","-7%","2","1"
"*06rus*","Brady Martin","NSH","C","893","ADB","Reserve","19","ANA Thu 6:00PM","1","0.33","28%","-7%","3","1"
"*06pyw*","Victor Eklund","NYI","LW","868","FZ","Active","19","","1","1","24%","-6%","1","1"
"*067yd*","David Reinbacher","MTL","D","902","PSK","Reserve","21","","1","0.5","22%","-5%","2","1"
"*066on*","Michael Brandsegg-Nygard","DET","RW","855","PSK","Reserve","20","","1","0.07","16%","-5%","14","1"
"*06aew*","Dmitri Simashev","UTA","D","909","ADB","Reserve","21","STL Thu 5:30PM","1","0.04","16%","-5%","27","1"
"*05gdb*","Justin Robidas","CAR","C","904","PSK","Reserve","23","","1","0.5","3%","-1%","2","1"
"*02un7*","Aleksander Barkov","FLA","C","1030","PSK","Active","30","","0","0","51%","-10%","0","0"
"*06jhc*","Tij Iginla","UTA","C,LW","2040","FZ","Active","19","STL Thu 5:30PM","0","0","32%","-7%","0","0"
"*06loq*","Caleb Desnoyers","UTA","C","1501","ADB","Reserve","19","STL Thu 5:30PM","0","0","30%","-7%","0","0"
"*064om*","Michael Hage","MTL","C","1883","PSK","Reserve","20","","0","0","27%","-7%","0","0"
"*06ig3*","Cayden Lindstrom","CBJ","LW","2427","FZ","Reserve","20","","0","0","27%","-7%","0","0"
"*05rjy*","Cole Eiserman","NYI","LW","1584","PA","Reserve","19","","0","0","26%","-6%","0","0"
"*06imm*","Roger McQueen","ANA","RW","2659","MC","Reserve","19","@NSH Thu 6:00PM","0","0","25%","-6%","0","0"
"*06nkc*","Jake O'Brien","SEA","C","2870","PA","Reserve","18","@COL Thu 8:00PM","0","0","25%","-6%","0","0"
"*062dy*","Andrew Cristall","WSH","LW","1429","MC","Reserve","21","","0","0","23%","-6%","0","0"
"*06spu*","Alexander Zharovsky","MTL","RW","3856","LHB","Reserve","19","","0","0","22%","-5%","0","0"
"*06pyp*","Radim Mrtka","BUF","D","2767","ADB","Reserve","18","","0","0","22%","-6%","0","0"
"*05ui5*","Quentin Musty","SJS","LW","2791","FZ","Active","20","@WPG Thu 6:00PM","0","0","21%","-6%","0","0"
"*058t9*","Seamus Casey","NJD","D","1301","MC","Active","22","","0","0","20%","-5%","2","0"
"*06pyk*","Justin Carbonneau","STL","RW","1288","MC","Reserve","19","@UTA Thu 5:30PM","0","0","20%","-6%","0","0"
"*06rqm*","Carter Bear","DET","C","1050","KR","Reserve","19","","0","0","20%","-6%","0","0"
"*06hcy*","Liam Greentree","NYR","RW","1840","JS","Reserve","20","","0","0","20%","-6%","0","0"
"*06sqf*","Braeden Cootes","VAN","C","1398","GG","Reserve","19","@EDM Thu 7:00PM","0","0","20%","-5%","3","0"
